ano,regiao,uf_sigla,municipio,categoria,nivel_atencao,numero_prof_padronizado
2013,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Agente Comunitário de Saúde,Primária,91.0
2008,Região Centro-Oeste,GO,Novo Gama,Técnico ou Auxiliar de Enfermagem,Primária,5.55
2015,Região Centro-Oeste,GO,Cristalina,Fonoaudiólogo,Secundária,0.55
2015,Região Centro-Oeste,GO,Luziânia,Psicólogo,Primária,5.5
2020,Região Centro-Oeste,GO,Novo Gama,Médico,Primária,27.75
2020,Região Centro-Oeste,GO,Novo Gama,Fisioterapeuta,Primária,2.25
2020,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Psicólogo,Terciária,3.4
2012,Região Centro-Oeste,GO,Águas Lindas de Goiás,Fonoaudiólogo,Secundária,1.0
2012,Região Centro-Oeste,GO,Luziânia,Técnico ou Auxiliar de Saúde Bucal,Secundária,6.0
2012,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Enfermeiro,Primária,21.05
2012,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico ou Auxiliar de Enfermagem,Primária,88.5
2018,Região Centro-Oeste,GO,Águas Lindas de Goiás,Nutricionista,Secundária,1.9
2009,Região Centro-Oeste,GO,Cristalina,Farmacêutico,Terciária,2.0
2017,Região Centro-Oeste,GO,Águas Lindas de Goiás,Psicólogo,OUTROS/MÚLTIPLOS,2.0
2017,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Enfermagem,Secundária,31.65
2017,Região Centro-Oeste,GO,Cristalina,Técnico em Radiologia e Imagenologia,Secundária,5.8
2017,Região Centro-Oeste,GO,Cristalina,Médico,OUTROS/MÚLTIPLOS,0.35
2017,Região Centro-Oeste,GO,Luziânia,Médico,Terciária,30.25
2017,Região Centro-Oeste,GO,Luziânia,Técnico em Radiologia e Imagenologia,Terciária,1.25
2025,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico ou Auxiliar de Enfermagem,Primária,114.0
2025,Região Centro-Oeste,GO,Cristalina,Assistente Social,Primária,1.1
2025,Região Centro-Oeste,GO,Cristalina,Fonoaudiólogo,Secundária,4.65
2014,Região Centro-Oeste,GO,Santo Antônio do Descoberto,Psicólogo,Primária,3.0
2021,Região Centro-Oeste,GO,Luziânia,Cirurgião Dentista,OUTROS/MÚLTIPLOS,2.5
2026,Região Centro-Oeste,GO,Cidade Ocidental,Médico,Terciária,16.5
2026,Região Centro-Oeste,GO,Luziânia,Assistente Social,Terciária,2.35
2026,Região Centro-Oeste,GO,Novo Gama,Biomédico,OUTROS/MÚLTIPLOS,0.5
2011,Região Centro-Oeste,GO,Valparaíso de Goiás,Técnico ou Auxiliar de Saúde Bucal,Secundária,2.0
2023,Região Centro-Oeste,GO,Águas Lindas de Goiás,Nutricionista,Primária,4.75
2023,Região Centro-Oeste,GO,Cristalina,Técnico ou Auxiliar de Enfermagem,Primária,49.1
2023,Região Centro-Oeste,GO,Novo Gama,Biomédico,Secundária,5.425
2016,Região Centro-Oeste,GO,Águas Lindas de Goiás,Técnico em Radiologia e Imagenologia,Secundária,0.575
2016,Região Centro-Oeste,GO,Cidade Ocidental,Enfermeiro,OUTROS/MÚLTIPLOS,3.0
2016,Região Centro-Oeste,GO,Cristalina,Nutricionista,Primária,2.0
2010,Região Centro-Oeste,GO,Luziânia,Assistente Social,Terciária,1.0
2010,Região Centro-Oeste,GO,Valparaíso de Goiás,Fisioterapeuta,Terciária,2.0
2013,Região Centro-Oeste,GO,Cristalina,Técnico em Farmácia,OUTROS/MÚLTIPLOS,1.0
